country,date,total_cases,total_deaths,death_rate,people_vaccinated_per_hundred
Afghanistan,2020-02-26,1,0,0,
Afghanistan,2020-02-27,1,0,0,
Afghanistan,2020-02-28,1,0,0,
Afghanistan,2020-02-29,1,0,0,
Afghanistan,2020-03-01,1,0,0,
Afghanistan,2020-03-02,1,0,0,
Afghanistan,2020-03-03,1,0,0,
Afghanistan,2020-03-04,1,0,0,
Afghanistan,2020-03-05,1,0,0,
Afghanistan,2020-03-06,1,0,0,
Afghanistan,2020-03-07,1,0,0,
Afghanistan,2020-03-08,1,0,0,
Afghanistan,2020-03-09,4,0,0,
Afghanistan,2020-03-10,4,0,0,
Afghanistan,2020-03-11,4,0,0,
Afghanistan,2020-03-12,7,0,0,
Afghanistan,2020-03-13,7,0,0,
Afghanistan,2020-03-14,7,0,0,
Afghanistan,2020-03-15,7,0,0,
Afghanistan,2020-03-16,10,0,0,
Afghanistan,2020-03-17,16,0,0,
Afghanistan,2020-03-18,22,0,0,
Afghanistan,2020-03-19,22,0,0,
Afghanistan,2020-03-20,22,0,0,
Afghanistan,2020-03-21,22,0,0,
Afghanistan,2020-03-22,24,0,0,
Afghanistan,2020-03-23,24,0,0,
Afghanistan,2020-03-24,40,0,0,
Afghanistan,2020-03-25,42,1,2.380952380952381,
Afghanistan,2020-03-26,74,1,1.3513513513513513,
Afghanistan,2020-03-27,74,1,1.3513513513513513,
Afghanistan,2020-03-28,80,2,2.5,
Afghanistan,2020-03-29,91,2,2.197802197802198,
Afghanistan,2020-03-30,106,3,2.8301886792452833,
Afghanistan,2020-03-31,114,4,3.508771929824561,
Afghanistan,2020-04-01,166,4,2.4096385542168677,
Afghanistan,2020-04-02,192,4,2.083333333333333,
Afghanistan,2020-04-03,194,4,2.0618556701030926,
Afghanistan,2020-04-04,254,5,1.968503937007874,
Afghanistan,2020-04-05,274,5,1.824817518248175,
Afghanistan,2020-04-06,299,7,2.341137123745819,
Afghanistan,2020-04-07,337,7,2.0771513353115725,
Afghanistan,2020-04-08,367,11,2.997275204359673,
Afghanistan,2020-04-09,423,14,3.309692671394799,
Afghanistan,2020-04-10,444,15,3.3783783783783785,
Afghanistan,2020-04-11,484,15,3.0991735537190084,
Afghanistan,2020-04-12,521,15,2.8790786948176583,
Afghanistan,2020-04-13,555,18,3.2432432432432434,
Afghanistan,2020-04-14,607,19,3.130148270181219,
Afghanistan,2020-04-15,665,22,3.308270676691729,
Afghanistan,2020-04-16,721,25,3.467406380027739,
Afghanistan,2020-04-17,794,29,3.6523929471032743,
Afghanistan,2020-04-18,845,30,3.5502958579881656,
Afghanistan,2020-04-19,908,30,3.303964757709251,
Afghanistan,2020-04-20,933,30,3.215434083601286,
Afghanistan,2020-04-21,996,33,3.313253012048193,
Afghanistan,2020-04-22,1026,36,3.508771929824561,
Afghanistan,2020-04-23,1092,36,3.296703296703297,
Afghanistan,2020-04-24,1176,40,3.4013605442176873,
Afghanistan,2020-04-25,1226,40,3.262642740619902,
Afghanistan,2020-04-26,1330,43,3.2330827067669174,
Afghanistan,2020-04-27,1463,49,3.349282296650718,
